timestamp,__name__,endpoint,instance,job,le,namespace,pod,prometheus,service,user,value
2024-06-11 10:21:26.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,102.0
2024-06-11 10:21:31.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,103.0
2024-06-11 10:21:36.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,103.0
2024-06-11 10:21:41.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,106.0
2024-06-11 10:21:46.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,108.0
2024-06-11 10:21:51.321000099,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,113.0
2024-06-11 10:21:56.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,114.0
2024-06-11 10:22:01.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,114.0
2024-06-11 10:22:06.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,119.0
2024-06-11 10:22:11.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,123.0
2024-06-11 10:22:16.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,129.0
2024-06-11 10:22:21.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,132.0
