timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,reason,service,user,value
2024-07-03 09:12:10.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:15.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:20.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:25.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:30.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:35.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:40.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:45.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,80.0
2024-07-03 09:12:50.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,81.0
2024-07-03 09:12:55.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,81.0
2024-07-03 09:13:00.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:05.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:10.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:15.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:20.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:25.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:30.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:35.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:40.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:45.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,82.0
2024-07-03 09:13:50.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,84.0
2024-07-03 09:13:55.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,84.0
2024-07-03 09:14:00.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,85.0
2024-07-03 09:14:05.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,85.0
2024-07-03 09:14:10.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,85.0
2024-07-03 09:14:15.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,85.0
2024-07-03 09:14:20.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:14:25.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:14:30.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:14:35.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:14:40.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:14:45.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:14:50.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:14:55.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:15:00.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:15:05.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:15:10.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:15:15.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:15:20.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
2024-07-03 09:15:25.250000000,router_request_failure,http,10.131.1.149:3000,tgis-bam,fmaas-monitoring,llm-router-multi-instance-v3,openshift-user-workload-monitoring/user-workload,Generation Failure,tgis-bam,Alan,86.0
